Uniq1;size=2279;	otu1	*
Uniq42;size=12;	perfect_chimera	dqt=16;top=Chimera1(93.6%);dqm=0;div=6.4;segs=2;parents=Chimera1(1-148/0)+OTU_3(150-249/0);
Uniq43;size=12;	match	dqt=2;top=OTU_2(99.2%);
Uniq44;size=12;	match	dqt=5;top=OTU_2(98.0%);
Uniq45;size=12;	match	dqt=2;top=OTU_4(99.2%);
Uniq46;size=12;	match	dqt=1;top=OTU_1(99.6%);
Uniq47;size=11;	match	dqt=6;top=OTU_2(97.6%);
Uniq48;size=11;	otu13	dqt=56;
Uniq49;size=11;	match	dqt=3;top=OTU_6(98.8%);
Uniq50;size=11;	match	dqt=6;top=OTU_1(97.6%);
Uniq51;size=11;	match	dqt=2;top=OTU_4(99.2%);
Uniq52;size=11;	match	dqt=5;top=OTU_4(98.0%);
Uniq53;size=11;	match	dqt=6;top=OTU_5(97.6%);
Uniq54;size=10;	perfect_chimera	dqt=16;top=OTU_2(93.6%);dqm=0;div=6.4;segs=2;parents=OTU_2(1-136/0)+Chimera6(136-248/0);
Uniq55;size=10;	perfect_chimera	dqt=11;top=OTU_2(95.6%);dqm=0;div=4.4;segs=2;parents=OTU_2(1-149/0)+OTU_5(150-249/0);
Uniq56;size=10;	match	dqt=2;top=OTU_3(99.2%);
Uniq57;size=10;	perfect_chimera	dqt=10;top=OTU_10(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_3(1-67/0)+OTU_10(68-249/0);
Uniq58;size=10;	match	dqt=5;top=Chimera1(98.0%);
Uniq59;size=9;	match	dqt=2;top=OTU_1(99.2%);
Uniq60;size=9;	match	dqt=4;top=OTU_4(98.4%);
Uniq61;size=9;	match	dqt=6;top=OTU_4(97.6%);
Uniq62;size=9;	perfect_chimera	dqt=10;top=OTU_3(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_9(1-67/0)+OTU_3(68-249/0);
Uniq63;size=9;	perfect_chimera	dqt=11;top=OTU_1(95.6%);dqm=0;div=4.4;segs=2;parents=OTU_1(1-175/0)+OTU_4(177-249/0);
Uniq64;size=9;	match	dqt=6;top=OTU_2(97.6%);
Uniq65;size=9;	perfect_chimera	dqt=10;top=OTU_3(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera6(1-31/0)+OTU_3(32-249/0);
Uniq66;size=8;	match	dqt=4;top=OTU_4(98.4%);
Uniq67;size=8;	match	dqt=5;top=Chimera12(98.0%);
Uniq68;size=8;	perfect_chimera	dqt=16;top=OTU_3(93.6%);dqm=0;div=6.4;segs=2;parents=OTU_3(1-149/0)+OTU_2(150-249/0);
Uniq69;size=8;	perfect_chimera	dqt=8;top=OTU_3(96.8%);dqm=0;div=3.2;segs=2;parents=OTU_4(1-61/0)+OTU_3(62-249/0);
Uniq70;size=8;	perfect_chimera	dqt=10;top=OTU_1(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera13(1-31/0)+OTU_1(32-248/0);
Uniq71;size=8;	match	dqt=1;top=OTU_2(99.6%);
Uniq72;size=7;	match	dqt=2;top=Chimera13(99.2%);
Uniq73;size=7;	perfect_chimera	dqt=10;top=OTU_4(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_3(1-81/0)+OTU_4(82-249/0);
Uniq74;size=7;	match	dqt=4;top=Chimera13(98.4%);
Uniq75;size=7;	match	dqt=1;top=OTU_4(99.6%);
Uniq76;size=7;	match	dqt=3;top=OTU_1(98.8%);
Uniq77;size=7;	perfect_chimera	dqt=10;top=OTU_9(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera13(1-67/0)+OTU_9(68-249/0);
Uniq78;size=7;	perfect_chimera	dqt=12;top=OTU_6(95.2%);dqm=0;div=4.8;segs=2;parents=OTU_6(1-115/0)+OTU_2(117-249/0);
Uniq79;size=7;	match	dqt=5;top=Chimera1(98.0%);
Uniq80;size=7;	perfect_chimera	dqt=10;top=OTU_2(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_2(1-172/0)+Chimera11(172-248/0);
Uniq81;size=7;	match	dqt=6;top=OTU_2(97.6%);
Uniq82;size=6;	match	dqt=1;top=OTU_1(99.6%);
Uniq83;size=6;	match	dqt=4;top=OTU_1(98.4%);
Uniq84;size=6;	match	dqt=5;top=OTU_5(98.0%);
Uniq85;size=6;	perfect_chimera	dqt=8;top=OTU_4(96.8%);dqm=0;div=3.2;segs=2;parents=OTU_4(1-188/0)+Chimera14(189-249/0);
Uniq86;size=6;	match	dqt=5;top=OTU_1(98.0%);
Uniq87;size=6;	perfect_chimera	dqt=8;top=OTU_3(96.8%);dqm=0;div=3.2;segs=2;parents=OTU_3(1-188/0)+Chimera16(189-249/0);
Uniq88;size=6;	match	dqt=4;top=OTU_1(98.4%);
Uniq89;size=6;	match	dqt=3;top=OTU_5(98.8%);
Uniq90;size=6;	perfect_chimera	dqt=12;top=Chimera13(95.2%);dqm=0;div=4.8;segs=2;parents=Chimera13(1-149/0)+Chimera15(149-248/0);
Uniq91;size=6;	match	dqt=4;top=Chimera7(98.4%);
Uniq92;size=6;	match	dqt=2;top=Chimera3(99.2%);
Uniq93;size=6;	perfect_chimera	dqt=8;top=OTU_1(96.8%);dqm=0;div=3.2;segs=2;parents=Chimera2(1-49/0)+OTU_1(50-248/0);
Uniq94;size=6;	match	dqt=3;top=OTU_1(98.8%);
Uniq95;size=6;	perfect_chimera	dqt=9;top=OTU_4(96.4%);dqm=0;div=3.6;segs=2;parents=Chimera11(1-31/0)+OTU_4(32-249/0);
Uniq96;size=6;	otu14	dqt=31;
Uniq97;size=6;	match	dqt=7;top=OTU_6(97.2%);
Uniq98;size=6;	match	dqt=4;top=OTU_4(98.4%);
Uniq99;size=6;	perfect_chimera	dqt=11;top=OTU_5(95.6%);dqm=0;div=4.4;segs=2;parents=OTU_5(1-149/0)+OTU_2(150-250/0);
Uniq100;size=5;	match	dqt=4;top=Chimera18(98.4%);
Uniq101;size=5;	match	dqt=6;top=Chimera2(97.6%);
Uniq102;size=5;	match	dqt=3;top=Chimera1(98.8%);
Uniq103;size=5;	match	dqt=3;top=OTU_5(98.8%);
Uniq104;size=5;	match	dqt=2;top=OTU_1(99.2%);
Uniq105;size=5;	perfect_chimera	dqt=13;top=OTU_9(94.8%);dqm=0;div=5.2;segs=2;parents=OTU_9(1-149/0)+Chimera10(150-249/0);
Uniq106;size=5;	match	dqt=1;top=OTU_10(99.6%);
Uniq107;size=5;	perfect_chimera	dqt=10;top=OTU_2(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera13(1-67/0)+OTU_2(68-249/0);
Uniq108;size=5;	match	dqt=4;top=OTU_1(98.4%);
Uniq109;size=5;	match	dqt=4;top=OTU_2(98.4%);
Uniq110;size=5;	match	dqt=3;top=OTU_2(98.8%);
Uniq111;size=5;	perfect_chimera	dqt=9;top=OTU_11(96.4%);dqm=0;div=3.6;segs=2;parents=Chimera5(1-67/0)+OTU_11(68-249/0);
Uniq112;size=5;	match	dqt=4;top=OTU_2(98.4%);
Uniq113;size=5;	match	dqt=1;top=OTU_1(99.6%);
Uniq114;size=5;	match	dqt=1;top=Chimera3(99.6%);
Uniq115;size=5;	match	dqt=1;top=OTU_6(99.6%);
Uniq116;size=5;	match	dqt=6;top=Chimera1(97.6%);
Uniq117;size=5;	match	dqt=5;top=Chimera4(98.0%);
Uniq118;size=5;	match	dqt=1;top=Chimera1(99.6%);
Uniq119;size=5;	match	dqt=1;top=Chimera16(99.6%);
Uniq120;size=5;	match	dqt=2;top=OTU_6(99.2%);
Uniq121;size=5;	perfect_chimera	dqt=9;top=Chimera12(96.4%);dqm=0;div=3.6;segs=2;parents=Chimera7(1-67/0)+Chimera12(68-249/0);
Uniq122;size=5;	match	dqt=3;top=OTU_2(98.8%);
Uniq123;size=4;	match	dqt=3;top=Chimera6(98.8%);
Uniq124;size=4;	otu15	dqt=55;
Uniq125;size=4;	perfect_chimera	dqt=12;top=OTU_5(95.2%);dqm=0;div=4.8;segs=2;parents=OTU_5(1-188/0)+Chimera7(189-249/0);
Uniq126;size=4;	match	dqt=6;top=Chimera2(97.6%);
Uniq127;size=4;	match	dqt=7;top=Chimera2(97.2%);
Uniq128;size=4;	perfect_chimera	dqt=13;top=Chimera1(94.8%);dqm=0;div=5.2;segs=2;parents=Chimera1(1-139/0)+OTU_5(141-249/0);
Uniq129;size=4;	match	dqt=6;top=Chimera1(97.6%);
Uniq130;size=4;	match	dqt=7;top=Chimera31(97.2%);
Uniq131;size=4;	match	dqt=1;top=OTU_1(99.6%);
Uniq132;size=4;	match	dqt=3;top=Chimera15(98.8%);
Uniq133;size=4;	match	dqt=5;top=OTU_3(98.0%);
Uniq134;size=4;	perfect_chimera	dqt=8;top=Chimera4(96.8%);dqm=0;div=3.2;segs=2;parents=Chimera4(1-136/0)+Chimera27(137-249/0);
Uniq135;size=4;	match	dqt=2;top=Chimera29(99.2%);
Uniq136;size=4;	match	dqt=1;top=OTU_9(99.6%);
Uniq137;size=4;	match	dqt=3;top=OTU_4(98.8%);
Uniq138;size=4;	match	dqt=4;top=OTU_2(98.4%);
Uniq139;size=4;	perfect_chimera	dqt=8;top=OTU_2(96.8%);dqm=0;div=3.2;segs=2;parents=Chimera1(1-49/0)+OTU_2(50-250/0);
Uniq140;size=4;	match	dqt=1;top=OTU_1(99.6%);
Uniq141;size=4;	match	dqt=1;top=Chimera14(99.6%);
Uniq142;size=4;	match	dqt=4;top=Chimera25(98.4%);
Uniq143;size=4;	match	dqt=5;top=Chimera8(98.0%);
Uniq144;size=4;	match	dqt=1;top=OTU_1(99.6%);
Uniq145;size=4;	match	dqt=2;top=Chimera16(99.2%);
Uniq146;size=4;	match	dqt=5;top=OTU_3(98.0%);
Uniq147;size=4;	match	dqt=3;top=OTU_2(98.8%);
Uniq148;size=3;	perfect_chimera	dqt=15;top=OTU_3(94.0%);dqm=0;div=6.0;segs=2;parents=OTU_3(1-136/0)+Chimera9(137-249/0);
Uniq149;size=3;	match	dqt=3;top=Chimera11(98.8%);
Uniq150;size=3;	match	dqt=2;top=OTU_4(99.2%);
Uniq151;size=3;	match	dqt=4;top=Chimera8(98.4%);
Uniq152;size=3;	match	dqt=2;top=Chimera32(99.2%);
Uniq153;size=3;	match	dqt=5;top=Chimera20(98.0%);
Uniq154;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq155;size=3;	match	dqt=2;top=Chimera18(99.2%);
Uniq156;size=3;	match	dqt=5;top=OTU_2(98.0%);
Uniq157;size=3;	match	dqt=1;top=Chimera34(99.6%);
Uniq158;size=3;	match	dqt=4;top=OTU_6(98.4%);
Uniq159;size=3;	match	dqt=3;top=Chimera2(98.8%);
Uniq160;size=3;	match	dqt=1;top=Chimera26(99.6%);
Uniq161;size=3;	perfect_chimera	dqt=10;top=OTU_3(96.0%);dqm=0;div=4.0;segs=2;parents=OTU_10(1-67/0)+OTU_3(68-249/0);
Uniq162;size=3;	match	dqt=2;top=Chimera7(99.2%);
Uniq163;size=3;	match	dqt=1;top=Chimera7(99.6%);
Uniq164;size=3;	perfect_chimera	dqt=17;top=Chimera21(93.2%);dqm=0;div=6.8;segs=2;parents=Chimera21(1-165/0)+OTU_8(166-250/0);
Uniq165;size=3;	perfect_chimera	dqt=11;top=Chimera23(95.6%);dqm=0;div=4.4;segs=2;parents=Chimera2(1-82/0)+Chimera23(83-248/0);
Uniq166;size=3;	match	dqt=3;top=OTU_7(98.8%);
Uniq167;size=3;	match	dqt=1;top=Chimera13(99.6%);
Uniq168;size=3;	match	dqt=1;top=OTU_2(99.6%);
Uniq169;size=3;	match	dqt=2;top=OTU_2(99.2%);
Uniq170;size=3;	match	dqt=7;top=Chimera1(97.2%);
Uniq171;size=3;	match	dqt=1;top=Chimera27(99.6%);
Uniq172;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq173;size=3;	match	dqt=4;top=OTU_1(98.4%);
Uniq174;size=3;	match	dqt=7;top=OTU_5(97.2%);
Uniq175;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq176;size=3;	match	dqt=4;top=Chimera14(98.4%);
Uniq177;size=3;	match	dqt=2;top=OTU_5(99.2%);
Uniq178;size=3;	match	dqt=4;top=Chimera14(98.4%);
Uniq179;size=3;	match	dqt=3;top=Chimera25(98.8%);
Uniq180;size=3;	match	dqt=5;top=OTU_7(98.0%);
Uniq181;size=3;	match	dqt=3;top=OTU_3(98.8%);
Uniq182;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq183;size=3;	perfect_chimera	dqt=13;top=Chimera13(94.8%);dqm=0;div=5.2;segs=2;parents=Chimera13(1-137/0)+OTU_5(138-249/0);
Uniq184;size=3;	perfect_chimera	dqt=15;top=OTU_9(94.0%);dqm=0;div=6.0;segs=2;parents=OTU_9(1-149/0)+Chimera22(150-249/0);
Uniq185;size=3;	match	dqt=3;top=OTU_2(98.8%);
Uniq186;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq187;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq188;size=3;	match	dqt=4;top=OTU_2(98.4%);
Uniq189;size=3;	match	dqt=1;top=OTU_2(99.6%);
Uniq190;size=3;	match	dqt=2;top=OTU_5(99.2%);
Uniq191;size=3;	perfect_chimera	dqt=8;top=Chimera11(96.8%);dqm=0;div=3.2;segs=2;parents=Chimera11(1-177/0)+Chimera17(179-249/0);
Uniq192;size=3;	match	dqt=3;top=Chimera28(98.8%);
Uniq193;size=3;	match	dqt=1;top=OTU_7(99.6%);
Uniq194;size=3;	match	dqt=3;top=OTU_1(98.8%);
Uniq195;size=3;	match	dqt=1;top=OTU_1(99.6%);
Uniq196;size=3;	perfect_chimera	dqt=8;top=OTU_1(96.8%);dqm=0;div=3.2;segs=3;parents=OTU_1(1-81/0)+OTU_6(82-114/0)+OTU_1(115-248/0);
Uniq197;size=3;	match	dqt=6;top=Chimera3(97.6%);
Uniq198;size=3;	match	dqt=2;top=Chimera18(99.2%);
Uniq199;size=3;	match	dqt=2;top=Chimera38(99.2%);
Uniq200;size=3;	match	dqt=1;top=OTU_8(99.6%);
Uniq201;size=3;	match	dqt=2;top=OTU_1(99.2%);
Uniq202;size=2;	match	dqt=6;top=Chimera21(97.6%);
Uniq203;size=2;	match	dqt=4;top=Chimera30(98.4%);
Uniq204;size=2;	match	dqt=7;top=OTU_1(97.2%);
Uniq205;size=2;	match	dqt=3;top=OTU_13(98.8%);
Uniq206;size=2;	match	dqt=6;top=OTU_6(97.6%);
Uniq207;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq208;size=2;	match	dqt=2;top=Chimera6(99.2%);
Uniq209;size=2;	match	dqt=4;top=OTU_6(98.4%);
Uniq210;size=2;	match	dqt=1;top=OTU_4(99.6%);
Uniq211;size=2;	match	dqt=2;top=OTU_10(99.2%);
Uniq212;size=2;	match	dqt=7;top=Chimera30(97.2%);
Uniq213;size=2;	match	dqt=2;top=Chimera20(99.2%);
Uniq214;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq215;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq216;size=2;	match	dqt=1;top=Chimera34(99.6%);
Uniq217;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq218;size=2;	match	dqt=7;top=Chimera2(97.2%);
Uniq219;size=2;	match	dqt=3;top=Chimera29(98.8%);
Uniq220;size=2;	perfect_chimera	dqt=8;top=Chimera13(96.8%);dqm=0;div=3.2;segs=2;parents=OTU_3(1-205/0)+Chimera13(206-249/0);
Uniq221;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq222;size=2;	match	dqt=5;top=OTU_5(98.0%);
Uniq223;size=2;	match	dqt=5;top=OTU_14(98.0%);
Uniq224;size=2;	match	dqt=4;top=Chimera3(98.4%);
Uniq225;size=2;	match	dqt=5;top=Chimera31(98.0%);
Uniq226;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq227;size=2;	match	dqt=3;top=OTU_7(98.8%);
Uniq228;size=2;	match	dqt=2;top=OTU_2(99.2%);
Uniq229;size=2;	match	dqt=6;top=OTU_10(97.6%);
Uniq230;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq231;size=2;	match	dqt=4;top=OTU_10(98.4%);
Uniq232;size=2;	perfect_chimera	dqt=13;top=Chimera17(94.8%);dqm=0;div=5.2;segs=2;parents=Chimera17(1-149/0)+Chimera13(150-249/0);
Uniq233;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq234;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq235;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq236;size=2;	match	dqt=1;top=Chimera22(99.6%);
Uniq237;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq238;size=2;	match	dqt=3;top=OTU_2(98.8%);
Uniq239;size=2;	match	dqt=5;top=OTU_1(98.0%);
Uniq240;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq241;size=2;	match	dqt=1;top=Chimera25(99.6%);
Uniq242;size=2;	perfect_chimera	dqt=9;top=OTU_6(96.4%);dqm=0;div=3.6;segs=3;parents=Chimera37(1-27/0)+OTU_6(28-81/0)+Chimera41(82-248/0);
Uniq243;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq244;size=2;	match	dqt=1;top=Chimera41(99.6%);
Uniq245;size=2;	match	dqt=1;top=OTU_9(99.6%);
Uniq246;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq247;size=2;	match	dqt=2;top=Chimera40(99.2%);
Uniq248;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq249;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq250;size=2;	match	dqt=6;top=OTU_1(97.6%);
Uniq251;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq252;size=2;	match	dqt=3;top=Chimera1(98.8%);
Uniq253;size=2;	match	dqt=3;top=Chimera15(98.8%);
Uniq254;size=2;	match	dqt=4;top=Chimera22(98.4%);
Uniq255;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq256;size=2;	perfect_chimera	dqt=7;top=Chimera20(97.2%);dqm=0;div=2.8;segs=2;parents=Chimera20(1-178/0)+Chimera17(179-249/0);
Uniq257;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq258;size=2;	match	dqt=4;top=OTU_1(98.4%);
Uniq259;size=2;	match	dqt=7;top=Chimera45(97.2%);
Uniq260;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq261;size=2;	perfect_chimera	dqt=7;top=OTU_3(97.2%);dqm=0;div=2.8;segs=2;parents=OTU_3(1-188/0)+Chimera17(189-249/0);
Uniq262;size=2;	match	dqt=2;top=Chimera5(99.2%);
Uniq263;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq264;size=2;	match	dqt=5;top=Chimera18(98.0%);
Uniq265;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq266;size=2;	match	dqt=2;top=Chimera31(99.2%);
Uniq267;size=2;	match	dqt=3;top=OTU_2(98.8%);
Uniq268;size=2;	match	dqt=7;top=OTU_9(97.2%);
Uniq269;size=2;	match	dqt=3;top=Chimera22(98.8%);
Uniq270;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq271;size=2;	perfect_chimera	dqt=7;top=Chimera6(97.2%);dqm=0;div=2.8;segs=2;parents=OTU_1(1-204/0)+Chimera6(205-248/0);
Uniq272;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq273;size=2;	noisy_chimera	dqt=13;top=Chimera25(94.8%);dqm=1;div=4.8;segs=2;parents=Chimera25(1-149/1)+Chimera37(149-248/0);
Uniq274;size=2;	match	dqt=4;top=OTU_1(98.4%);
Uniq275;size=2;	match	dqt=3;top=Chimera4(98.8%);
Uniq276;size=2;	match	dqt=1;top=Chimera17(99.6%);
Uniq277;size=2;	match	dqt=5;top=Chimera33(98.0%);
Uniq278;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq279;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq280;size=2;	match	dqt=3;top=Chimera2(98.8%);
Uniq281;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq282;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq283;size=2;	match	dqt=6;top=OTU_5(97.6%);
Uniq284;size=2;	match	dqt=3;top=OTU_1(98.8%);
Uniq285;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq286;size=2;	match	dqt=1;top=OTU_4(99.6%);
Uniq287;size=2;	perfect_chimera	dqt=9;top=OTU_11(96.4%);dqm=0;div=3.6;segs=2;parents=Chimera12(1-31/0)+OTU_11(32-249/0);
Uniq288;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq289;size=2;	match	dqt=6;top=OTU_1(97.6%);
Uniq290;size=2;	match	dqt=6;top=Chimera44(97.6%);
Uniq291;size=2;	match	dqt=6;top=Chimera19(97.6%);
Uniq292;size=2;	match	dqt=1;top=OTU_4(99.6%);
Uniq293;size=2;	match	dqt=4;top=OTU_4(98.4%);
Uniq294;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq295;size=2;	perfect_chimera	dqt=13;top=Chimera6(94.8%);dqm=0;div=5.2;segs=2;parents=Chimera6(1-156/0)+Chimera34(158-249/0);
Uniq296;size=2;	perfect_chimera	dqt=11;top=OTU_6(95.6%);dqm=0;div=4.4;segs=2;parents=OTU_6(1-148/0)+Chimera31(149-248/0);
Uniq297;size=2;	match	dqt=4;top=Chimera12(98.4%);
Uniq298;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq299;size=2;	match	dqt=4;top=Chimera11(98.4%);
Uniq300;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq301;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq302;size=2;	match	dqt=3;top=Chimera34(98.8%);
Uniq303;size=2;	perfect_chimera	dqt=11;top=Chimera27(95.6%);dqm=0;div=4.4;segs=2;parents=Chimera32(1-82/0)+Chimera27(83-249/0);
Uniq304;size=2;	otu16	dqt=60;
Uniq305;size=2;	perfect_chimera	dqt=11;top=Chimera16(95.6%);dqm=0;div=4.4;segs=2;parents=Chimera19(1-70/0)+OTU_4(71-249/0);
Uniq306;size=2;	match	dqt=1;top=Chimera7(99.6%);
Uniq307;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq308;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq309;size=2;	match	dqt=3;top=OTU_3(98.8%);
Uniq310;size=2;	match	dqt=2;top=OTU_2(99.2%);
Uniq311;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq312;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq313;size=2;	match	dqt=2;top=Chimera24(99.2%);
Uniq314;size=2;	match	dqt=6;top=OTU_1(97.6%);
Uniq315;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq316;size=2;	match	dqt=1;top=Chimera13(99.6%);
Uniq317;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq318;size=2;	match	dqt=2;top=Chimera34(99.2%);
Uniq319;size=2;	match	dqt=1;top=OTU_3(99.6%);
Uniq320;size=2;	match	dqt=4;top=Chimera4(98.4%);
Uniq321;size=2;	match	dqt=1;top=OTU_4(99.6%);
Uniq322;size=2;	noisy_chimera	dqt=8;top=OTU_4(96.8%);dqm=2;div=2.4;segs=2;parents=Chimera53(1-46/0)+OTU_4(47-249/2);
Uniq323;size=2;	match	dqt=1;top=OTU_1(99.6%);
Uniq324;size=2;	match	dqt=7;top=Chimera2(97.2%);
Uniq325;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq326;size=2;	perfect_chimera	dqt=10;top=Chimera29(96.0%);dqm=0;div=4.0;segs=2;parents=Chimera30(1-67/0)+Chimera29(68-249/0);
Uniq327;size=2;	match	dqt=1;top=OTU_2(99.6%);
Uniq328;size=2;	perfect_chimera	dqt=5;top=OTU_1(98.0%);dqm=0;div=2.0;segs=2;parents=OTU_1(1-203/0)+OTU_7(205-249/0);
Uniq329;size=2;	match	dqt=2;top=OTU_8(99.2%);
Uniq330;size=2;	perfect_chimera	dqt=12;top=Chimera19(95.2%);dqm=0;div=4.8;segs=2;parents=Chimera19(1-148/0)+Chimera17(149-249/0);
Uniq331;size=2;	match	dqt=2;top=Chimera12(99.2%);
Uniq332;size=2;	match	dqt=6;top=OTU_7(97.6%);
Uniq333;size=2;	perfect_chimera	dqt=9;top=Chimera19(96.4%);dqm=0;div=3.6;segs=2;parents=Chimera19(1-176/0)+OTU_13(177-249/0);
Uniq334;size=2;	perfect_chimera	dqt=11;top=Chimera13(95.6%);dqm=0;div=4.4;segs=2;parents=Chimera13(1-108/0)+Chimera27(109-249/0);
Uniq335;size=2;	match	dqt=1;top=Chimera2(99.6%);
